Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
gndblwq,P,8/6/2018 22:30,0,0,,32.5,<0> ,35.76,<0> ,22.4,<0> ,91.9,<0> ,5.9,<0> ,0.67,<0> ,,<-1> [GCU],7.6,<0> ,11,<0> 
gndblwq,P,8/6/2018 22:45,0,0,,32.4,<0> ,35.76,<0> ,22.4,<0> ,88,<0> ,5.7,<0> ,0.67,<0> ,,<-1> [GCU],7.6,<0> ,8,<0> 
gndblwq,P,8/6/2018 23:00,0,0,,32.4,<0> ,35.81,<0> ,22.4,<0> ,92.4,<0> ,5.9,<0> ,0.68,<0> ,,<-1> [GCU],7.6,<0> ,11,<0> 
gndblwq,P,8/6/2018 23:15,0,0,,32.5,<0> ,36.2,<0> ,22.7,<0> ,92.4,<0> ,5.9,<0> ,0.69,<0> ,0.62,<3> ,7.6,<0> ,9,<0> 
gndblwq,P,8/6/2018 23:30,0,0,,32.3,<0> ,35.95,<0> ,22.5,<0> ,89.8,<0> ,5.8,<0> ,0.7,<0> ,0.64,<3> ,7.6,<0> ,10,<0> 
gndblwq,P,8/6/2018 23:45,0,0,,32.5,<0> ,36.12,<0> ,22.6,<0> ,88.8,<0> ,5.7,<0> ,0.71,<0> ,0.65,<3> ,7.6,<0> ,10,<0> 
gndblwq,P,8/7/2018 0:00,0,0,,32.2,<0> ,36.2,<0> ,22.7,<0> ,87.8,<0> ,5.7,<0> ,0.72,<0> ,,<-1> [GCU],7.6,<0> ,10,<0> 
gndblwq,P,8/7/2018 0:15,0,0,,32.3,<0> ,36.46,<0> ,22.9,<0> ,90.8,<0> ,5.8,<0> ,0.73,<0> ,0.67,<3> ,7.7,<0> ,10,<0> 
gndblwq,P,8/7/2018 0:30,0,0,,32.2,<0> ,36.64,<0> ,23,<0> ,91.3,<0> ,5.9,<0> ,0.74,<0> ,0.68,<3> ,7.7,<0> ,11,<0> 
gndblwq,P,8/7/2018 0:45,0,0,,32.2,<0> ,36.84,<0> ,23.1,<0> ,91.7,<0> ,5.9,<0> ,0.75,<0> ,0.69,<3> ,7.7,<0> ,9,<0> 
gndblwq,P,8/7/2018 1:00,0,0,,32.1,<0> ,36.78,<0> ,23.1,<0> ,90.4,<0> ,5.8,<0> ,0.76,<0> ,,<-1> [GCU],7.7,<0> ,9,<0> 
gndblwq,P,8/7/2018 1:15,0,0,,32.2,<0> ,36.81,<0> ,23.1,<0> ,89.4,<0> ,5.7,<0> ,0.77,<0> ,0.71,<3> ,7.7,<0> ,9,<0> 
gndblwq,P,8/7/2018 1:30,0,0,,32.1,<0> ,37.1,<0> ,23.3,<0> ,91.1,<0> ,5.9,<0> ,0.78,<0> ,0.73,<3> ,7.7,<0> ,9,<0> 
gndblwq,P,8/7/2018 1:45,0,0,,32.1,<0> ,37.22,<0> ,23.4,<0> ,90.7,<0> ,5.8,<0> ,0.79,<0> ,0.74,<3> ,7.7,<0> ,9,<0> 
gndblwq,P,8/7/2018 2:00,0,0,,32,<0> ,37.21,<0> ,23.4,<0> ,88.8,<0> ,5.7,<0> ,0.81,<0> ,,<-1> [GCU],7.7,<0> ,10,<0> 
gndblwq,P,8/7/2018 2:15,0,0,,31.8,<0> ,37.29,<0> ,23.5,<0> ,88.5,<0> ,5.7,<0> ,0.82,<0> ,0.77,<3> ,7.7,<0> ,9,<0> 
gndblwq,P,8/7/2018 2:30,0,0,,31.8,<0> ,37.37,<0> ,23.5,<0> ,86.9,<0> ,5.6,<0> ,0.83,<0> ,0.78,<3> ,7.7,<0> ,10,<0> 
gndblwq,P,8/7/2018 2:45,0,0,,31.8,<0> ,37.4,<0> ,23.5,<0> ,86,<0> ,5.6,<0> ,0.84,<0> ,0.79,<3> ,7.7,<0> ,10,<0> 
gndblwq,P,8/7/2018 3:00,0,0,,31.7,<0> ,37.73,<0> ,23.8,<0> ,84.3,<0> ,5.4,<0> ,0.86,<0> ,,<-1> [GCU],7.8,<0> ,10,<0> 
gndblwq,P,8/7/2018 3:15,0,0,,31.7,<0> ,37.83,<0> ,23.8,<0> ,83.1,<0> ,5.4,<0> ,0.87,<0> ,0.82,<3> ,7.7,<0> ,10,<0> 
gndblwq,P,8/7/2018 3:30,0,0,,31.7,<0> ,37.86,<0> ,23.9,<0> ,82.2,<0> ,5.3,<0> ,0.88,<0> ,0.83,<3> ,7.7,<0> ,11,<0> 
gndblwq,P,8/7/2018 3:45,0,0,,31.6,<0> ,38.06,<0> ,24,<0> ,82.3,<0> ,5.3,<0> ,0.89,<0> ,0.84,<3> ,7.8,<0> ,10,<0> 
gndblwq,P,8/7/2018 4:00,0,0,,31.4,<0> ,38.12,<0> ,24,<0> ,82.8,<0> ,5.4,<0> ,0.9,<0> ,,<-1> [GCU],7.8,<0> ,9,<0> 
gndblwq,P,8/7/2018 4:15,0,0,,31.4,<0> ,38.15,<0> ,24.1,<0> ,81.5,<0> ,5.3,<0> ,0.91,<0> ,,<-1> [GCU],7.8,<0> ,8,<0> 
gndblwq,P,8/7/2018 4:30,0,0,,31.4,<0> ,38.16,<0> ,24.1,<0> ,73.9,<0> ,4.8,<0> ,0.91,<0> ,,<-1> [GCU],7.8,<0> ,8,<0> 
gndblwq,P,8/7/2018 4:45,0,0,,31.4,<0> ,38.21,<0> ,24.1,<0> ,80.1,<0> ,5.2,<0> ,0.91,<0> ,,<-1> [GCU],7.8,<0> ,9,<0> 
gndblwq,P,8/7/2018 5:00,0,0,,31.4,<0> ,38.29,<0> ,24.2,<0> ,78.9,<0> ,5.1,<0> ,0.91,<0> ,,<-1> [GCU],7.8,<0> ,8,<0> 
gndblwq,P,8/7/2018 5:15,0,0,,31.4,<0> ,38.38,<0> ,24.2,<0> ,78.2,<0> ,5.1,<0> ,0.91,<0> ,0.85,<3> ,7.9,<0> ,9,<0> 
gndblwq,P,8/7/2018 5:30,0,0,,31.4,<0> ,38.39,<0> ,24.2,<0> ,76.7,<0> ,5,<0> ,0.92,<0> ,0.86,<3> ,7.9,<0> ,9,<0> 
gndblwq,P,8/7/2018 5:45,0,0,,31.4,<0> ,38.35,<0> ,24.2,<0> ,78.4,<0> ,5.1,<0> ,0.92,<0> ,0.86,<3> ,7.9,<0> ,12,<0> 
gndblwq,P,8/7/2018 6:00,0,0,,31.1,<0> ,38.04,<0> ,24,<0> ,79.9,<0> ,5.2,<0> ,0.93,<0> ,,<-1> [GCU],7.8,<0> ,8,<0> 
gndblwq,P,8/7/2018 6:15,0,0,,31,<0> ,38.14,<0> ,24.1,<0> ,79.2,<0> ,5.2,<0> ,0.94,<0> ,0.88,<3> ,7.8,<0> ,8,<0> 
gndblwq,P,8/7/2018 6:30,0,0,,31,<0> ,38.18,<0> ,24.1,<0> ,77.9,<0> ,5.1,<0> ,0.94,<0> ,0.88,<3> ,7.8,<0> ,11,<0> 
gndblwq,P,8/7/2018 6:45,0,0,,31.1,<0> ,38.22,<0> ,24.1,<0> ,81.1,<0> ,5.3,<0> ,0.94,<0> ,0.87,<3> ,7.9,<0> ,9,<0> 
gndblwq,P,8/7/2018 7:00,0,0,,31.1,<0> ,38.21,<0> ,24.1,<0> ,73.9,<0> ,4.8,<0> ,0.94,<0> ,,<-1> [GCU],7.8,<0> ,9,<0> 
gndblwq,P,8/7/2018 7:15,0,0,,31.1,<0> ,38.22,<0> ,24.1,<0> ,81.8,<0> ,5.3,<0> ,0.94,<0> ,0.87,<3> ,7.9,<0> ,8,<0> 
gndblwq,P,8/7/2018 7:30,0,0,,31.3,<0> ,38.4,<0> ,24.2,<0> ,76.2,<0> ,4.9,<0> ,0.94,<0> ,0.87,<3> ,7.9,<0> ,14,<0> 
gndblwq,P,8/7/2018 7:45,0,0,,31.3,<0> ,38.4,<0> ,24.2,<0> ,78.3,<0> ,5.1,<0> ,0.93,<0> ,0.86,<3> ,7.9,<0> ,13,<0> 
gndblwq,P,8/7/2018 8:00,0,0,,31.2,<0> ,38.28,<0> ,24.2,<0> ,80.7,<0> ,5.2,<0> ,0.93,<0> ,,<-1> [GCU],7.9,<0> ,10,<0> 
gndblwq,P,8/7/2018 8:15,0,0,,31.2,<0> ,38.06,<0> ,24,<0> ,82.4,<0> ,5.4,<0> ,0.91,<0> ,0.84,<3> ,7.8,<0> ,10,<0> 
gndblwq,P,8/7/2018 8:30,0,0,,31.3,<0> ,38.15,<0> ,24.1,<0> ,80.2,<0> ,5.2,<0> ,0.9,<0> ,0.82,<3> ,7.8,<0> ,13,<0> 
